q0001, feel for, search by touch
q0002, pluck up courage, common & idiomatic expression describing the act of summoning courage and strength to do sth difficult or frightening.
q0003, take a back seat, to allow others to take the lead or be in control
q0004, take the bull by the horns, to confront a difficult situation directly and with determination
q0005, take the plunge, to make a decision to do something risky or uncertain
q0006, came face to face with danger, to confront or encounter sth threatening directly
q0007, decided on the spur of the moment, to make a quick decision without much thought or planning; she decided on her brother's favourite
q0008, show someone the ropes, to teach someone how to do a job or task
q0009, as fast as his legs could carry him, to run as quickly as possible. emphasize urgency and maximum effort
q0010, took to his heels, to run away quickly esp facing danger or trouble
q0011, take the law into one's own hands, to take action to enforce the law
q0012, take the wind out of one's sails, to surprise or deflate someone by doing or saying something unexpected
q0013, bring to a boil, to heat a liquid until it reaches the boiling point
q0014, bring to a head, to cause a situation to reach a critical point
q0015, defy all odds, to succeed despite facing significant challenges or obstacles
q0016, stifle a yawn, to suppress or hold back a yawn
q0017, cut out, to remove or eliminate; removal by cutting; Ceasing or stopping an action or process
q0018, cut out for, to be suited or qualified for a particular task or role
q0019, throw a tantrum, to have an angry outburst or display of frustration typically by a child
q0020, throw a spanner in the works, to cause a problem or complication that disrupts a plan or process
q0021, ahead of the curve, to be more advanced or innovative than others
q0022, face the facts, accept a hard truth or reality even if it is unpleasant
q0023, washed up on the shore, fixed expression: carried by wave onto land when a thing is dead or weak
q0024, put on a brave front, to pretend to be brave or confident in a difficult situation
q0025, put one's foot down, to assert oneself firmly or insist on a particular course
q0026, distinguish A from B, to tell the difference between A and B; vs seperate: physically move apart; doesn't tell the difference
q0027, look out for, to be vigilant or watchful for something
q0028, hold one's weight, contribute one's fair share to a task or effort. not relying on others to pick up the slack
q0029, hit the roof, to become extremely angry or enraged
q0030, send for repairs, general phrase used for fixing damage.
q0031, easily accessible by public transport, convenient to reach using public transportation.
q0032, the situation is in hands, in hand means under control or being managed effectively.
q0033, the situation is in good hands, means that it is being managed by someone capable or trustworthy.
q0034, the situation is in flux, means that it is uncertain or constantly changing.
q0035, excuse ready at hand, at hand means readily available or prepared in advanced.
q0036, go on a raid, fixed expression: to conduct a sudden attack or incursion into a place; "ON" is used when talking about organized actions or activities.
q0037, decide for oneself, idiom; emphasize decision is made independently or without external influence.
q0038, decide by oneself, "by oneself" emphasizes alone without help.
